"id","L","A","C","Y"
1343,0,0,0,0
1344,1,1,1,NA
1345,1,2,0,0
1346,1,0,0,0
1347,1,0,0,0
1348,0,1,0,0
1349,0,0,1,NA
1350,0,1,0,0
1351,0,1,0,0
1352,1,0,0,0
1353,1,1,0,0
1354,1,1,0,0
1355,1,0,0,0
1356,0,0,0,0
1357,1,1,0,0
1358,1,1,0,0
1359,1,1,0,0
1360,1,1,0,0
1361,0,1,0,0
1362,1,0,0,0
1363,1,0,0,0
1364,0,1,0,0
1365,1,1,0,0
1366,1,0,0,0
1367,0,1,1,NA
1368,1,1,0,0
1369,0,0,0,0
1370,1,2,0,1
1371,1,1,1,NA
1372,1,1,0,0
1373,0,2,0,0
1374,1,1,0,0
1375,1,1,1,NA
1376,1,1,0,1
1377,0,1,0,0
1378,1,0,0,0
1379,0,0,0,0
1380,0,0,0,0
1381,1,1,0,0
1382,0,0,0,1
1383,0,0,0,1
1384,1,1,0,0
1385,0,1,0,0
1386,0,0,0,1
1387,0,0,0,1
1388,0,1,1,NA
1389,1,2,0,0
1390,0,0,0,0
1391,0,1,1,NA
1392,0,2,0,0
1393,0,0,0,1
1394,1,1,0,0
1395,1,0,1,NA
1396,0,0,0,0
1397,1,0,0,1
1398,0,0,0,1
1399,1,0,1,NA
1400,0,1,0,0
1401,1,0,0,0
1402,1,1,0,0
1403,1,2,0,0
1404,1,1,0,0
1405,0,1,0,0
1406,1,2,0,0
1407,1,1,0,0
1408,1,1,0,0
1409,0,2,0,0
1410,0,1,1,NA
1411,0,0,0,0
1412,1,2,1,NA
1413,1,1,0,0
1414,1,2,0,0
1415,0,2,0,0
1416,0,0,0,0
1417,1,0,0,0
1418,0,0,0,0
1419,0,1,0,0
1420,0,1,0,0
1421,0,1,0,0
1422,0,1,1,NA
1423,0,0,0,0
1424,0,1,0,0
1425,0,0,0,1
1426,0,1,0,0
1427,0,1,0,0
1428,0,1,1,NA
1429,1,1,0,0
1430,0,0,0,0
1431,1,1,0,0
1432,1,2,0,0
1433,0,1,1,NA
1434,0,1,0,1
1435,1,1,0,0
1436,0,0,0,0
1437,1,0,0,0
1438,1,0,0,1
1439,0,0,0,0
1440,1,0,0,0
1441,0,0,0,0
1442,0,0,0,0
1443,1,1,0,0
1444,1,1,0,0
1445,0,1,0,0
1446,1,0,0,0
1447,0,1,0,0
1448,0,0,0,0
1449,0,0,1,NA
1450,1,1,0,1
1451,0,0,0,0
1452,1,1,1,NA
1453,0,1,1,NA
1454,1,1,0,0
1455,1,2,1,NA
1456,1,2,0,0
1457,1,1,0,0
1458,1,1,0,0
1459,0,1,0,0
1460,0,1,1,NA
1461,0,1,0,0
1462,1,1,0,0
1463,0,1,0,0
1464,1,1,0,0
1465,1,1,0,0
1466,0,1,1,NA
1467,1,1,0,0
1468,1,2,1,NA
1469,1,1,1,NA
1470,1,0,0,0
1471,1,1,0,0
1472,1,0,0,0
1473,0,1,0,0
1474,1,1,0,0
1475,0,0,0,0
1476,1,0,0,0
1477,0,1,0,0
1478,0,0,1,NA
1479,1,1,0,0
1480,0,1,0,0
1481,0,1,0,1
1482,0,0,0,1
1483,0,1,0,0
1484,0,1,0,0
1485,0,0,0,0
1486,0,1,1,NA
1487,0,0,0,0
1488,1,0,0,0
1489,0,2,0,0
1490,1,2,0,0
1491,1,0,0,0
1492,1,1,0,0
1493,1,1,0,0
1494,1,1,0,0
1495,1,1,1,NA
1496,0,0,0,0
1497,0,1,0,0
1498,0,0,1,NA
1499,0,0,0,0
1500,0,1,0,0
1501,1,2,0,0
1502,1,1,0,0
1503,1,0,0,0
1504,0,1,0,0
1505,1,1,0,0
1506,0,1,0,0
1507,0,1,0,0
1508,0,0,0,1
1509,1,2,1,NA
1510,1,1,0,0
1511,0,1,1,NA
1512,1,0,0,0
1513,0,0,0,0
1514,0,1,0,0
1515,0,1,1,NA
1516,0,0,0,0
1517,1,1,0,1
1518,0,0,0,0
1519,0,0,0,1
1520,0,0,0,0
1521,0,0,0,0
1522,1,0,0,1
1523,0,1,1,NA
1524,1,1,1,NA
1525,0,0,0,0
1526,1,1,0,0
1527,1,1,0,0
1528,0,0,0,0
1529,0,0,0,1
1530,0,1,1,NA
1531,1,2,0,0
1532,1,0,0,0
1533,1,1,0,0
1534,0,0,1,NA
1535,1,1,0,0
1536,0,1,0,0
1537,1,0,0,0
1538,0,1,1,NA
1539,1,1,0,0
1540,1,1,0,0
1541,1,0,0,0
1542,1,1,0,0
1543,0,0,0,1
1544,0,0,0,0
1545,0,0,0,0
1546,0,0,0,1
1547,0,1,0,1
1548,0,0,0,1
1549,1,1,0,0
1550,0,1,0,0
1551,1,1,0,0
1552,0,2,1,NA
1553,1,0,0,0
1554,1,1,0,0
1555,1,1,1,NA
1556,1,1,0,0
1557,0,0,0,0
1558,0,0,0,0
1559,1,0,0,0
1560,0,2,0,0
1561,1,1,1,NA
1562,0,0,0,0
1563,0,0,0,0
1564,1,2,0,0
1565,1,2,0,0
1566,0,1,0,0
1567,1,1,0,0
1568,1,2,0,0
1569,1,2,1,NA
1570,0,1,1,NA
1571,1,2,0,0
1572,1,0,0,0
1573,0,0,0,0
1574,1,1,0,0
1575,1,1,0,1
1576,0,0,1,NA
1577,1,1,0,0
1578,0,1,1,NA
1579,1,1,0,0
1580,1,1,0,0
1581,1,2,0,0
1582,1,2,0,0
1583,1,0,0,1
1584,1,1,0,0
1585,1,1,0,0
1586,1,2,1,NA
1587,0,1,0,1
1588,1,1,0,0
1589,1,2,1,NA
1590,1,0,0,0
1591,1,1,1,NA
1592,1,1,0,0
1593,0,1,0,0
1594,0,0,0,0
1595,1,2,1,NA
1596,1,0,0,0
1597,1,1,0,0
1598,0,1,0,0
1599,1,1,0,0
1600,1,1,1,NA
1601,0,1,1,NA
1602,0,0,0,1
1603,0,0,0,0
1604,0,1,0,0
1605,1,2,0,0
1606,0,0,0,0
1607,1,1,0,0
1608,1,0,0,0
1609,1,0,0,0
1610,1,0,0,0
1611,1,2,0,0
1612,1,1,1,NA
1613,1,2,1,NA
1614,0,0,0,1
1615,0,0,0,0
1616,0,1,0,0
1617,1,0,0,0
1618,0,0,0,0
1619,1,1,1,NA
1620,1,0,0,0
1621,0,1,0,0
1622,1,0,0,0
1623,1,1,0,0
1624,0,0,1,NA
1625,0,0,0,0
1626,0,1,0,0
1627,1,1,0,0
1628,0,0,0,0
1629,0,0,0,1
1630,0,0,0,0
1631,1,2,0,0
1632,1,0,0,0
1633,1,2,0,0
1634,0,1,0,0
1635,1,1,0,0
1636,0,0,0,0
1637,1,2,0,0
1638,1,0,1,NA
1639,1,1,0,0
1640,1,1,1,NA
1641,1,1,0,0
1642,1,2,0,0
1643,0,1,0,0
1644,1,1,0,0
1645,0,1,0,0
1646,0,1,0,0
1647,1,2,0,0
1648,1,0,0,1
1649,0,0,0,0
1650,0,2,1,NA
1651,1,2,0,0
1652,1,0,0,0
1653,0,1,0,0
1654,0,0,0,0
1655,0,0,0,0
1656,1,1,0,0
1657,0,0,1,NA
1658,0,0,0,0
1659,0,1,0,0
1660,1,1,0,0
1661,1,2,0,0
1662,1,0,0,1
1663,0,0,0,1
1664,0,0,0,0
1665,0,0,0,0
1666,1,0,0,0
1667,1,0,0,0
1668,1,2,0,0
1669,1,2,1,NA
1670,0,0,1,NA
1671,0,0,1,NA
1672,1,1,0,0
1673,1,1,0,0
1674,1,1,0,0
1675,0,1,0,1
1676,1,2,0,0
1677,1,0,0,0
1678,0,0,0,0
1679,1,2,1,NA
1680,1,1,0,1
1681,1,2,0,0
1682,0,0,1,NA
1683,0,0,0,0
1684,0,1,0,0
1685,0,1,0,0
1686,0,1,1,NA
1687,1,1,0,0
1688,1,1,1,NA
1689,0,0,0,0
1690,1,2,0,0
1691,1,2,1,NA
1692,1,1,0,0
1693,0,0,0,0
1694,1,2,0,1
1695,1,1,0,0
1696,1,0,0,0
1697,0,1,1,NA
1698,1,2,0,0
1699,1,0,0,0
1700,0,0,0,1
1701,1,0,0,0
1702,1,0,0,0
1703,1,2,0,0
1704,1,1,0,0
1705,0,0,0,0
1706,0,0,0,0
1707,0,1,1,NA
1708,1,1,0,0
1709,1,2,1,NA
1710,1,1,0,0
1711,1,0,0,0
1712,0,1,0,0
1713,0,0,0,0
1714,0,1,0,0
1715,1,2,1,NA
1716,1,1,0,0
1717,1,1,0,0
1718,0,1,0,0
1719,1,1,0,0
1720,0,0,0,0
1721,0,1,0,0
1722,0,1,0,0
1723,0,0,0,1
1724,0,0,0,0
1725,0,1,0,0
1726,1,0,0,0
1727,0,1,0,0
1728,0,0,0,0
1729,0,1,0,0
1730,0,1,0,0
1731,1,2,0,0
1732,0,0,0,0
1733,0,0,0,1
1734,1,0,0,0
1735,0,0,0,0
1736,0,1,1,NA
1737,0,0,0,1
1738,0,0,0,0
1739,0,2,0,0
1740,1,1,1,NA
1741,1,2,0,0
1742,1,1,0,0
1743,1,1,0,0
1744,0,1,0,0
1745,1,1,0,0
1746,1,0,0,0
1747,0,0,0,0
1748,1,2,0,0
1749,1,1,0,0
1750,1,2,0,0
1751,0,1,0,0
1752,1,1,0,0
1753,1,2,1,NA
1754,1,1,1,NA
1755,1,2,0,0
1756,0,0,0,0
1757,0,1,1,NA
1758,1,1,1,NA
1759,1,1,1,NA
1760,0,1,1,NA
1761,1,1,0,0
1762,1,0,0,0
1763,1,2,0,0
1764,1,1,0,0
1765,1,1,0,0
1766,0,0,0,0
1767,1,1,0,0
1768,0,1,0,1
1769,0,1,0,1
1770,0,1,0,0
1771,1,2,0,0
1772,0,0,0,0
1773,1,1,0,0
1774,1,1,0,0
1775,0,0,0,1
1776,1,1,1,NA
1777,1,1,0,0
1778,1,0,0,0
1779,0,1,0,1
1780,1,1,0,0
1781,1,0,0,0
1782,0,0,0,0
1783,1,2,1,NA
1784,0,0,0,0
1785,1,1,0,0
1786,0,0,0,0
1787,0,0,0,1
1788,0,1,0,0
1789,0,0,0,0
1790,1,2,1,NA
1791,0,1,1,NA
1792,1,0,0,0
1793,0,0,0,0
1794,0,0,0,1
1795,1,0,0,0
1796,1,2,0,0
1797,1,2,1,NA
1798,1,2,0,0
1799,0,0,0,0
1800,0,0,0,0
1801,0,0,0,1
1802,0,0,0,1
1803,0,1,0,0
1804,0,1,0,0
1805,1,1,1,NA
1806,1,0,0,0
1807,1,0,0,0
1808,1,2,1,NA
1809,0,0,0,0
1810,1,1,0,0
1811,0,2,1,NA
1812,1,0,0,0
1813,1,2,0,0
1814,1,1,0,0
1815,0,0,0,0
1816,0,1,0,0
1817,0,1,0,0
1818,0,0,1,NA
1819,0,1,1,NA
1820,1,2,0,0
1821,1,2,1,NA
1822,1,1,0,0
1823,1,1,0,0
1824,0,1,0,0
1825,0,2,0,0
1826,0,0,0,0
1827,1,1,0,0
1828,0,0,0,0
1829,1,0,0,0
1830,0,0,0,0
1831,1,1,0,0
1832,1,0,0,0
1833,0,0,0,0
1834,1,2,1,NA
1835,1,2,0,0
1836,0,1,0,0
1837,0,1,0,0
1838,1,1,0,1
1839,0,0,0,1
1840,0,1,0,0
1841,0,0,0,0
1842,1,1,1,NA
1843,0,1,0,1
1844,0,0,0,1
1845,0,0,0,0
1846,1,1,0,0
1847,1,1,0,0
1848,1,0,0,1
1849,0,1,0,0
1850,1,1,0,0
1851,1,2,0,0
1852,1,2,0,0
1853,1,1,0,0
1854,0,1,1,NA
1855,0,2,0,0
1856,1,1,0,0
1857,1,1,0,0
1858,0,1,0,1
1859,0,1,0,0
1860,1,0,0,0
1861,0,0,0,0
1862,0,0,0,0
1863,0,1,1,NA
1864,0,0,0,0
1865,0,1,0,0
1866,1,0,0,0
1867,1,1,0,0
1868,1,1,0,0
1869,1,2,1,NA
1870,1,0,0,0
1871,0,1,0,0
1872,1,1,0,0
1873,0,0,0,1
1874,1,0,0,0
1875,0,0,0,0
1876,1,1,0,0
1877,0,1,0,1
1878,0,0,0,0
1879,0,1,0,0
1880,0,0,0,0
1881,0,0,1,NA
1882,1,1,0,0
1883,1,2,0,0
1884,1,2,0,0
1885,0,1,0,0
1886,0,1,1,NA
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,1,NA
1890,1,0,0,0
1891,0,1,0,0
1892,1,0,0,0
1893,1,2,1,NA
1894,0,0,0,0
1895,0,1,1,NA
1896,1,0,0,0
1897,0,1,0,0
1898,1,1,0,0
1899,1,0,0,0
1900,0,2,1,NA
1901,0,0,0,0
1902,1,2,0,0
1903,1,1,0,0
1904,0,1,0,0
1905,0,0,0,1
1906,1,1,0,0
1907,0,0,0,0
1908,0,1,0,0
1909,1,2,0,0
1910,0,1,0,0
1911,0,2,1,NA
1912,1,1,1,NA
1913,0,1,0,0
1914,0,1,0,0
1915,0,0,0,0
1916,1,2,0,0
1917,0,1,1,NA
1918,0,0,0,0
1919,0,1,0,0
1920,0,0,0,0
1921,1,1,0,0
1922,0,0,0,0
1923,0,1,0,0
1924,1,1,0,0
1925,1,1,1,NA
1926,0,0,0,0
1927,1,1,0,0
1928,1,1,1,NA
1929,1,1,0,0
1930,1,1,0,0
1931,0,0,0,0
1932,1,1,0,0
1933,0,0,0,1
1934,0,0,0,0
1935,0,0,0,0
1936,0,1,0,0
1937,0,1,0,0
1938,1,0,0,0
1939,0,0,0,0
1940,0,2,1,NA
1941,1,0,0,0
1942,1,0,0,0
1943,0,1,0,0
1944,1,1,0,0
1945,1,1,0,0
1946,1,0,0,0
1947,0,1,0,1
1948,0,2,1,NA
1949,1,0,0,0
1950,1,1,0,0
1951,1,1,0,0
1952,1,2,0,0
1953,1,1,1,NA
1954,1,2,0,0
1955,0,1,0,0
1956,1,1,0,0
1957,1,1,1,NA
1958,1,0,0,0
1959,1,0,0,0
1960,1,1,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,1,0,0
1965,1,1,0,1
1966,0,0,0,0
1967,0,1,0,0
1968,0,0,0,0
1969,1,2,1,NA
1970,1,2,0,0
1971,0,2,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,1,0,0,0
1975,0,0,0,1
1976,1,1,0,0
1977,0,0,0,0
1978,0,0,1,NA
1979,0,0,1,NA
1980,0,1,0,0
1981,1,1,0,0
1982,0,2,0,0
1983,0,0,0,0
1984,1,1,0,0
1985,1,0,0,0
1986,1,2,0,0
1987,0,1,1,NA
1988,1,0,0,0
1989,0,0,0,1
1990,1,0,0,0
1991,0,1,0,0
1992,1,1,0,0
1993,1,2,0,0
1994,1,2,0,0
1995,0,1,0,0
1996,1,1,0,0
1997,0,0,1,NA
1998,0,0,0,0
1999,1,0,0,0
2000,0,0,0,1
2001,1,1,0,0
2002,1,2,0,0
2003,1,0,0,0
2004,1,2,0,0
2005,0,0,0,0
2006,1,1,0,1
2007,0,1,0,0
2008,0,0,0,0
2009,0,0,0,1
2010,1,1,0,0
2011,0,0,0,1
2012,0,0,0,0
2013,0,1,0,0
2014,0,1,0,0
2015,0,0,0,1
2016,0,0,0,0
2017,1,2,1,NA
2018,1,0,0,0
2019,0,0,0,1
2020,1,0,0,0
2021,0,1,0,0
2022,1,2,0,0
2023,0,1,0,0
2024,1,1,0,1
2025,0,0,0,0
2026,1,1,0,1
2027,0,1,0,0
2028,1,1,0,0
2029,1,2,0,0
2030,1,2,0,0
2031,1,1,1,NA
2032,0,1,0,0
2033,1,0,0,0
2034,0,1,0,0
2035,0,0,0,0
2036,1,0,0,1
2037,1,1,0,0
2038,0,0,0,0
2039,1,1,0,0
2040,1,2,0,0
2041,0,0,0,0
2042,1,2,1,NA
2043,0,0,0,0
2044,1,2,0,0
2045,0,1,0,0
2046,0,1,1,NA
2047,0,0,0,0
2048,1,1,0,0
2049,1,2,0,0
2050,0,2,1,NA
2051,1,0,0,0
2052,0,0,0,0
2053,1,1,1,NA
2054,1,1,0,0
2055,0,1,0,0
2056,1,2,0,0
2057,1,2,0,1
2058,0,1,0,1
2059,0,1,0,1
2060,0,1,0,1
2061,0,1,0,0
2062,1,0,0,0
2063,0,0,0,0
2064,0,1,1,NA
2065,1,2,0,0
2066,1,1,0,0
2067,0,0,0,0
2068,1,1,0,0
2069,0,2,0,0
2070,0,1,0,0
2071,1,2,0,0
2072,0,0,0,0
2073,1,2,0,0
2074,1,1,0,0
2075,1,1,0,0
2076,0,0,0,0
2077,1,1,0,1
2078,1,2,0,0
2079,0,0,0,0
2080,0,0,0,0
2081,1,2,1,NA
2082,0,0,0,0
2083,0,1,0,0
2084,0,0,0,1
2085,1,1,0,0
2086,0,1,1,NA
2087,0,0,0,0
2088,0,2,0,0
2089,0,0,0,0
2090,1,0,0,0
2091,0,0,0,0
2092,0,0,0,0
2093,1,2,0,0
2094,0,0,0,1
2095,1,1,0,0
2096,0,0,0,0
2097,0,0,0,1
2098,1,1,0,0
2099,0,0,0,1
2100,0,1,1,NA
2101,0,1,0,0
2102,0,0,0,0
2103,0,0,0,0
2104,0,0,0,1
2105,1,0,0,0
2106,0,1,0,0
2107,1,2,1,NA
2108,1,1,0,0
2109,1,1,0,0
2110,0,0,0,0
2111,1,0,0,0
2112,1,2,0,0
2113,0,1,0,0
2114,0,0,0,0
2115,0,0,0,1
2116,1,0,0,1
2117,0,1,0,0
2118,0,2,0,0
2119,0,1,0,0
2120,0,0,0,1
2121,0,0,0,0
2122,0,0,0,0
2123,0,1,0,0
2124,1,0,0,0
2125,1,2,0,0
2126,1,1,0,0
2127,1,1,0,0
2128,1,1,0,0
2129,1,2,0,0
2130,0,1,1,NA
2131,0,1,0,0
2132,1,2,0,0
2133,0,1,1,NA
2134,0,0,0,0
2135,0,0,1,NA
2136,0,1,0,0
2137,0,0,0,0
2138,1,1,0,0
2139,0,1,0,0
2140,0,0,0,0
2141,1,2,1,NA
2142,1,0,0,0
2143,0,2,0,0
2144,1,2,1,NA
2145,0,0,1,NA
2146,1,1,0,0
2147,1,2,0,0
2148,1,0,0,1
2149,1,0,0,0
2150,0,0,0,0
2151,0,0,0,1
2152,1,1,0,0
2153,1,1,0,0
2154,1,1,0,0
2155,0,0,0,0
2156,1,1,0,0
2157,1,2,1,NA
2158,1,0,0,0
2159,0,0,0,1
2160,0,2,0,0
2161,0,0,0,0
2162,0,0,0,0
2163,1,1,0,0
2164,0,2,1,NA
2165,0,2,1,NA
2166,1,0,0,0
2167,1,1,0,0
2168,1,0,0,0
2169,0,2,0,0
2170,0,1,1,NA
2171,0,2,1,NA
2172,1,1,0,0
2173,0,0,1,NA
2174,1,2,0,0
2175,0,0,0,0
2176,0,0,0,1
2177,1,2,0,0
2178,0,1,0,0
2179,0,1,0,0
2180,1,1,0,0
2181,0,0,0,1
2182,0,1,0,0
2183,0,0,0,0
2184,1,1,0,0
2185,0,1,0,0
2186,1,1,0,1
2187,1,1,0,0
2188,0,0,0,1
2189,1,0,0,0
2190,0,0,0,1
2191,1,2,0,0
2192,0,2,1,NA
2193,0,0,0,1
2194,0,2,1,NA
2195,0,1,0,0
2196,0,0,0,0
2197,0,0,0,1
2198,1,0,0,0
2199,1,1,0,0
2200,0,1,0,0
2201,1,1,0,0
2202,1,1,0,0
2203,1,0,0,0
2204,0,1,0,0
2205,1,2,0,0
2206,0,0,0,0
2207,0,0,0,0
2208,0,0,0,1
2209,1,2,1,NA
2210,1,1,0,0
2211,1,1,0,0
2212,1,1,0,0
2213,1,2,0,0
2214,1,1,0,0
2215,1,1,0,0
2216,1,0,0,0
2217,0,0,0,1
2218,1,1,0,0
2219,0,0,0,0
2220,1,2,0,0
2221,0,0,0,0
2222,0,1,1,NA
2223,0,2,0,0
2224,0,0,0,1
2225,0,1,1,NA
2226,0,1,0,1
2227,0,0,0,0
2228,1,1,0,0
2229,0,0,0,0
2230,1,1,0,0
2231,1,1,0,0
2232,1,1,1,NA
2233,0,2,1,NA
2234,0,1,1,NA
2235,1,1,0,0
2236,1,1,0,0
2237,1,2,0,0
2238,1,2,0,0
2239,0,2,0,1
2240,0,0,1,NA
2241,0,1,0,1
2242,0,0,1,NA
2243,0,0,0,1
2244,0,2,0,0
2245,1,1,0,0
2246,1,0,1,NA
2247,1,0,0,0
2248,1,1,0,0
2249,1,0,0,0
2250,1,1,0,0
2251,1,2,0,0
2252,0,1,0,0
2253,1,2,0,0
2254,0,0,0,0
2255,1,1,0,0
2256,1,1,0,0
2257,1,1,0,0
2258,0,1,0,0
2259,1,2,0,0
2260,1,0,0,0
2261,1,1,0,0
2262,0,1,0,0
2263,1,2,0,0
2264,1,1,0,0
2265,0,2,1,NA
2266,0,1,1,NA
2267,1,1,0,0
2268,1,0,0,0
2269,0,1,1,NA
2270,1,0,0,0
2271,1,0,0,0
2272,0,0,0,0
2273,0,1,1,NA
2274,0,1,1,NA
2275,1,1,0,1
2276,1,0,0,0
2277,0,0,0,0
2278,1,0,0,0
2279,0,0,0,0
2280,0,0,0,1
2281,0,1,1,NA
2282,1,1,0,0
2283,1,1,0,0
2284,0,1,0,0
2285,0,2,1,NA
2286,0,1,0,0
2287,1,1,1,NA
2288,0,0,0,0
2289,1,1,0,1
2290,0,0,1,NA
2291,1,2,1,NA
2292,1,1,0,0
2293,0,1,0,0
2294,0,1,0,0
2295,1,0,0,0
2296,1,0,0,0
2297,1,1,0,0
2298,1,1,1,NA
2299,1,0,1,NA
2300,0,1,0,0
2301,0,0,0,0
2302,0,1,1,NA
2303,0,0,1,NA
2304,0,1,0,0
2305,0,0,0,0
2306,0,2,1,NA
2307,0,1,0,0
2308,0,1,1,NA
2309,1,1,0,0
2310,0,0,0,0
2311,1,1,1,NA
2312,0,1,0,0
2313,1,0,0,1
2314,1,0,0,0
2315,1,1,0,0
2316,0,0,0,0
2317,1,2,0,0
2318,0,0,0,1
2319,0,1,0,0
2320,1,2,0,0
2321,1,1,0,0
2322,0,1,0,0
2323,0,1,1,NA
2324,1,2,0,0
2325,0,1,0,0
2326,0,0,0,0
2327,1,0,0,0
2328,0,0,0,0
2329,0,0,0,0
2330,1,1,0,0
2331,1,1,0,0
2332,1,1,0,0
2333,1,0,0,0
2334,1,1,0,0
2335,1,1,0,0
2336,0,1,1,NA
2337,1,1,0,0
2338,1,1,0,0
2339,1,1,1,NA
2340,0,0,0,1
2341,1,2,0,0
2342,1,1,0,0
2343,0,1,0,0
2344,1,0,0,0
2345,1,0,0,0
2346,1,1,0,0
2347,0,0,0,1
2348,0,0,0,1
2349,0,1,0,0
2350,0,0,0,0
2351,0,0,0,1
2352,0,1,1,NA
2353,1,1,0,0
2354,1,1,0,0
2355,1,0,0,0
2356,0,0,1,NA
2357,1,1,0,0
2358,0,0,0,1
2359,1,0,0,0
2360,1,2,0,0
2361,0,0,0,0
2362,1,2,0,0
2363,1,0,0,0
2364,1,1,0,0
2365,1,1,0,0
2366,0,0,0,0
2367,0,0,0,0
2368,1,1,0,0
2369,1,0,0,1
2370,0,1,0,0
2371,1,1,0,0
2372,1,1,0,0
2373,0,1,1,NA
2374,0,1,1,NA
2375,1,0,0,0
2376,1,2,0,0
2377,1,1,0,0
2378,0,1,0,1
2379,0,1,0,0
2380,1,0,0,0
2381,0,1,0,0
2382,0,0,1,NA
2383,1,0,0,1
2384,1,1,0,0
2385,1,1,0,0
2386,0,0,0,0
2387,0,2,1,NA
2388,0,1,0,0
2389,1,2,1,NA
2390,0,2,0,0
2391,1,1,0,0
2392,0,1,0,0
2393,0,0,0,1
2394,0,0,0,0
2395,1,1,0,0
2396,0,2,1,NA
2397,1,1,0,0
2398,1,2,0,0
2399,0,1,0,0
2400,0,2,0,0
2401,0,1,0,0
2402,1,1,0,0
2403,1,2,1,NA
2404,0,1,0,0
2405,1,0,0,0
2406,0,0,0,0
2407,1,0,0,0
2408,0,0,0,0
2409,1,0,0,0
2410,0,1,0,0
2411,1,1,0,0
2412,0,0,0,0
2413,1,1,0,0
2414,1,2,0,0
2415,0,1,0,0
2416,1,1,1,NA
2417,1,0,0,0
2418,1,1,0,0
2419,0,1,0,0
2420,0,1,0,1
2421,1,1,0,0
2422,0,0,0,0
2423,1,1,0,0
2424,1,2,0,0
2425,1,2,0,0
2426,0,1,0,0
2427,0,1,0,0
2428,0,1,0,0
2429,0,0,0,0
2430,1,1,0,0
2431,0,0,0,0
2432,1,1,0,0
2433,0,0,0,1
2434,1,2,0,0
2435,0,1,1,NA
2436,1,1,0,0
2437,0,1,0,0
2438,0,0,0,1
2439,1,2,0,0
2440,1,1,0,1
2441,0,0,0,0
2442,0,2,0,0
2443,1,1,0,0
2444,0,0,0,1
2445,1,0,1,NA
2446,0,1,0,1
2447,0,0,0,0
2448,1,1,0,0
2449,1,0,0,0
2450,1,1,0,0
2451,1,0,0,0
2452,1,2,1,NA
2453,1,2,1,NA
2454,0,1,0,0
2455,0,0,0,0
2456,0,1,1,NA
2457,0,1,0,0
2458,0,1,0,0
2459,1,1,0,0
2460,1,1,0,0
2461,0,0,0,1
2462,0,0,0,0
2463,1,0,0,0
2464,0,1,0,0
2465,1,1,0,0
2466,1,0,0,0
2467,0,0,0,1
2468,0,1,1,NA
2469,0,0,0,0
2470,1,2,0,0
2471,1,1,0,0
2472,1,0,0,0
2473,0,0,0,0
2474,0,0,0,0
2475,0,0,0,0
2476,1,2,1,NA
2477,0,0,0,1
2478,0,0,0,0
2479,0,0,1,NA
2480,0,1,0,1
2481,1,2,0,0
2482,1,0,0,0
2483,0,1,1,NA
2484,0,0,0,0
2485,0,0,0,0
2486,1,0,0,0
2487,1,1,0,0
2488,1,2,1,NA
2489,0,1,0,0
2490,0,1,1,NA
2491,1,1,0,0
2492,1,1,0,0
2493,0,0,0,1
2494,0,1,0,0
2495,0,1,0,0
2496,1,0,0,0
2497,0,0,0,0
2498,0,0,0,0
2499,0,0,0,0
2500,0,0,0,0
2501,1,0,0,0
2502,1,1,0,0
2503,1,1,0,0
2504,0,1,1,NA
2505,1,1,0,0
2506,1,1,0,0
2507,1,2,0,0
2508,1,2,1,NA
2509,1,1,1,NA
2510,1,0,0,0
2511,1,0,0,0
2512,1,2,0,0
2513,0,0,0,0
2514,0,0,0,0
2515,0,1,1,NA
2516,0,0,0,0
2517,0,0,0,0
2518,1,1,0,0
2519,1,0,0,0
2520,1,1,1,NA
2521,1,0,0,0
2522,0,1,0,0
2523,1,1,0,0
2524,0,0,0,0
2525,0,1,1,NA
2526,0,0,0,1
2527,0,1,0,0
2528,1,1,0,0
2529,0,0,0,0
2530,1,2,0,0
2531,0,1,0,0
2532,1,0,0,0
2533,1,1,0,1
2534,1,1,1,NA
2535,1,2,0,0
2536,1,0,0,0
2537,1,0,0,1
2538,0,2,1,NA
2539,1,2,1,NA
2540,1,0,0,0
2541,0,0,0,0
2542,1,2,0,0
2543,0,2,1,NA
2544,0,0,0,0
2545,0,1,0,0
2546,1,2,0,0
2547,1,2,0,0
2548,1,1,0,0
2549,0,0,0,0
2550,1,2,0,0
2551,0,0,0,0
2552,0,1,0,0
2553,0,0,0,0
2554,1,2,0,0
2555,1,2,0,0
2556,0,0,1,NA
2557,0,1,1,NA
2558,0,1,0,0
2559,1,1,0,0
2560,0,1,0,0
2561,1,1,0,0
2562,0,0,0,1
2563,1,1,1,NA
2564,0,0,0,0
2565,1,2,0,0
2566,1,0,0,0
2567,1,0,0,0
2568,0,1,0,0
2569,0,1,0,0
2570,0,0,1,NA
2571,1,1,0,0
2572,0,0,0,0
2573,0,2,0,0
2574,1,1,0,0
2575,0,0,0,0
2576,0,1,0,0
2577,1,0,0,0
2578,1,1,1,NA
2579,0,1,0,0
2580,1,2,1,NA
2581,0,1,0,1
2582,0,0,0,0
2583,1,0,1,NA
2584,1,1,0,0
2585,1,1,0,0
2586,0,1,1,NA
2587,1,2,0,0
2588,0,1,0,0
2589,0,1,0,0
2590,1,0,0,0
2591,1,2,0,0
2592,0,0,1,NA
2593,0,0,0,0
2594,0,1,1,NA
